,account,jobs,su,users,avg_cores,avg_nodes,cpuhours
73,pi-weyl,2801,12888.55,2,0.9807,1.0196,12873.9714
74,pi-drm7,918,12243.33,2,7.7364,1.2092,12239.2575
75,pi-arzhetsky,444,10651.51,2,8.6216,1.0518,10649.3097
76,cmsc26800,1772,10414.53,16,2.3284,1.0847,10405.4844
77,pi-skeedy,461,8253.48,4,4.4837,1.0564,8251.2397
78,pi-rossc,351,8062.73,5,1.8034,1.0969,8060.9894
79,pi-asufi,109,6714.54,1,12.0,1.0,6714.13
80,pi-fciesla,32,6585.2,1,18.125,18.3125,6585.0722
81,pi-kazutaka,232,5880.06,6,5.75,1.1034,5879.0406
82,pi-nbrunel,3380,5738.18,2,0.9772,1.0272,5719.1642
83,pi-evtimov,3471,5355.22,2,1.1063,1.1855,5337.9567
84,pi-stin,13879,5070.78,2,1.1351,1.0009,5003.6089
85,mpcs51087,673,4929.55,13,34.2051,4.0431,4927.0136
86,pi-wilsonp,491,4846.02,2,14.5051,1.1629,4843.9783
87,bios26120,243,4314.25,11,19.037,1.465,4313.1367
88,pi-sarice,1200,3967.66,3,7.2483,1.7075,3961.7742
89,pi-jaeger,174,3792.13,4,16.2989,1.4598,3791.4706
90,pi-weare,577,3744.24,1,15.2426,1.0035,3741.8872
91,pi-avieregg,13453,3496.27,4,0.8508,1.1502,3434.0036
92,pi-wtmirvine,160,3111.71,3,250.4188,15.6875,3111.0919
93,pi-gmatvos,37,2948.03,1,12.0,1.0,2947.9233
94,pi-nfschere,139,2538.41,1,1.1583,1.0,2537.765
95,pi-vmbertho,12,2235.52,1,384.0,24.0,2235.4844
96,pi-btian,99,1540.27,4,9.9697,1.303,1539.9447
97,pi-dskinner,19,1515.56,1,54.4211,7.3684,1515.4881
98,pi-jagoldsm,47,1370.1,4,6.0426,1.1915,1369.9075
99,pi-jevans,180,1309.45,3,7.3,1.7,1308.6967
100,pi-archer,67,1199.17,1,4.0,1.0,1198.8067
101,pi-risi,466,1066.5,2,6.3326,1.0579,1064.4514
102,pi-jand312,29,1061.12,1,4.7931,1.1034,1060.9867
103,pi-lamadon,69,980.53,1,12.8406,12.8696,980.2239
104,pi-amurugan,156,948.68,1,1.0962,1.0,947.8203
105,pi-vavra,24,682.81,1,16.0417,1.0417,682.7031
106,pi-mlcoleman,199,574.93,5,1.9849,1.0251,573.865
107,pi-anc,67,494.78,3,12.5075,1.1343,494.4669
108,pi-littlewood,525,403.09,1,1.6571,1.0286,400.2606
109,pi-dis,953,375.04,3,1.0147,1.001,370.3083
110,pi-ghitsch,97,369.65,1,32.0928,2.1753,369.2878
111,pi-ejadams,12,326.39,1,14.5,2.1667,326.3364
112,astr31600,7271,289.36,4,0.9791,1.0224,249.105
113,pi-pchintag,129,225.63,2,3.3256,1.0,224.8961
114,pi-kkawaji,6,210.21,1,5.6667,1.3333,210.1931
115,pi-qitiguo,57,178.41,1,10.9474,1.0702,178.1808
116,pi-kettimut,31,162.96,1,2.9032,1.0323,162.8122
117,pi-mhale,20,150.86,1,3.25,1.0,150.7756
118,pi-glk,7280,125.23,3,1.0027,1.0011,69.1461
119,pi-anants,94,114.17,1,1.0,1.0,113.6556
120,pi-dpope,6,91.95,1,3.5,1.0,91.9214
121,pi-jdube,102,87.62,2,0.9412,1.0588,87.0989
122,cmsc33520,52,83.48,1,23.9615,7.3077,83.2697
123,pi-berry,51,63.1,2,1.6078,1.0196,62.8078
124,pi-hdew,13,39.02,1,1.0,1.0,38.9556
125,pi-tanhuan,26,36.29,2,0.9231,1.0769,36.1575
126,pi-london,26,30.97,1,1.0769,1.0769,30.8306
127,pi-awsch,13,25.92,2,7.6923,1.1538,25.8597
128,rcc-guest,23,23.34,8,2.4348,1.0435,23.2228
129,pi-siegela,19,19.96,1,1.5789,1.1579,19.8581
130,pi-sokolov,3,16.94,1,6.0,1.0,16.9189
131,pi-gan1,83,16.11,1,3.241,1.0,15.7294
132,pi-kalindsey,11,15.26,1,1.0,1.0,15.2042
133,pi-cpel,17,12.19,1,2.7647,1.0,12.0894
134,pi-sraudenb,13,11.8,1,1.0,1.0,11.7306
135,meng33000,8,10.46,4,1.0,1.0,10.4194
136,pi-rwiersma,5,10.15,1,1.0,1.0,10.1133
137,pi-shakhnarovich,22,8.8,3,0.5455,1.4545,8.7311
138,pi-weberm,6,8.24,1,1.0,1.0,8.2122
139,pi-mhereld,49,7.88,1,13.5306,1.1429,7.6717
140,pi-wgreen,11,7.56,2,1.0,1.0,7.5089
141,pi-prhahn,10,6.15,1,1.0,1.0,6.1033
142,pi-rina,12,5.94,1,1.0,1.0,5.8981
143,pi-johntmurphy,45,5.36,2,81.2444,5.6,5.1831
144,pi-jacobbean,3,3.28,1,21.3333,2.0,3.2711
145,pi-richardjeanso,1,3.25,1,1.0,1.0,3.2489
146,pi-sshahul,5,2.24,1,1.0,1.0,2.2136
147,pi-pjlarivi,1,1.72,1,1.0,1.0,1.7133
148,mgcb32000,4,0.74,2,8.75,1.25,0.7269
149,pi-l332,5,0.26,1,1.0,1.0,0.2367
150,pi-mlong,2,0.21,1,1.0,1.0,0.195
151,pi-iawad,2,0.12,1,1.0,1.0,0.1111
152,pi-skron,2,0.07,1,1.0,1.0,0.0625
153,pi-ozidar,3,0.03,1,1.0,1.0,0.0014
154,rcc-instructor,2,0.03,2,1.0,1.0,0.0222
155,pi-vishwanath,1,0.03,1,1.0,1.0,0.0222
156,geos33300,1,0.01,1,1.0,1.0,0.0003
157,pi-lorettaau,1,0.01,1,1.0,1.0,0.0083
158,pi-oto,1,0.0,1,0.0,2.0,0.0
159,pi-gnedin,1,0.0,1,0.0,2.0,0.0
